"product_id","product_name","product_type","unit","price_unit","wholesale","current_inventory"
1.0,"strawberry","produce","lb",3.28,1.77,13.0
2.0,"apple_fuji","produce","lb",1.44,0.43,2.0
3.0,"orange","produce","lb",1.02,0.37,2.0
4.0,"clementines","produce","lb",1.19,0.44,44.0
5.0,"blood_orange","produce","lb",3.86,1.66,19.0
6.0,"blood_lime","produce","lb",1.69,0.91,10.0
7.0,"tayberry","produce","lb",2.54,0.89,25.0
8.0,"pluot","produce","lb",3.99,1.44,26.0
9.0,"tangelo","produce","lb",0.96,0.56,32.0
10.0,"pomello","produce","lb",0.96,0.57,33.0
11.0,"pineberry","produce","lb",4.89,2.0,42.0
12.0,"vegan_egg_substitute","dairy","oz",1.15,0.58,41.0
13.0,"asparagus_water","beverages","fl_oz",0.38,0.21,42.0
14.0,"falafel_chips","snacks","oz",0.53,0.29,2.0
15.0,"sweet_potato_hockey_pucks","snacks","oz",0.43,0.17,35.0
16.0,"arugula_crisps","snacks","oz",2.43,1.19,32.0
17.0,"bottled_organic_air","other","cubic_ft",2.67,0.96,38.0
18.0,"chia_seeds","dry_goods","oz",0.67,0.36,30.0
19.0,"all_natural_cheese_poofs","snacks","oz",0.41,0.16,13.0
20.0,"sriracha_popcorn","snacks","oz",1.11,0.37,26.0
21.0,"buttermilk_pancake_crunchies","snacks","oz",2.59,1.24,21.0
22.0,"smoked_trout","meat","lb",19.59,9.01,3.0
23.0,"pine_nuts","dry_goods","oz",0.91,0.3,42.0
24.0,"dried_apricots","dry_goods","oz",0.56,0.26,34.0
25.0,"smoked_salmon","meat","lb",39.99,20.0,5.0
26.0,"green_juice","beverages","fl_oz",0.25,0.13,15.0
27.0,"celery_foam","other","fl_oz",6.0,4.29,7.0
28.0,"protein_powder","dry_goods","oz",0.69,0.33,2.0
29.0,"asiago_cheese","dairy","oz",0.63,0.25,20.0
30.0,"camembert_cheese","dairy","oz",0.91,0.54,15.0
31.0,"almond_nut_thins","snacks","oz",0.61,0.21,20.0
32.0,"arugula","produce","lb",2.99,1.05,10.0
33.0,"white_bean_and_basil_hummus","canned_jarred_goods","oz",0.97,0.55,2.0
34.0,"edamame_hummus","canned_jarred_goods","oz",0.95,0.35,13.0
35.0,"eggplant_caponata","frozen","oz",1.39,0.74,25.0
36.0,"olive_tapanade","canned_jarred_goods","oz",1.12,0.57,36.0
37.0,"chocolate_ganache_torte","frozen","oz",3.52,1.09,40.0
38.0,"pork_gyoza","frozen","oz",1.19,0.65,31.0
39.0,"table_wafers","snacks","oz",0.59,0.21,32.0
40.0,"vegetable_gyoza","frozen","oz",1.17,0.6,28.0
41.0,"frozen_tamales","frozen","oz",1.09,0.58,23.0
42.0,"porchini_mushrooms","produce","lb",5.99,3.41,44.0
43.0,"garlic_naan","bread","oz",0.99,0.36,38.0
44.0,"frozen_clams","frozen","oz",4.99,2.54,39.0
45.0,"butter_chicken","frozen","oz",1.29,0.57,4.0
46.0,"frozen_salmon","frozen","oz",16.99,9.17,5.0
47.0,"paneer","dairy","oz",1.17,0.66,43.0
48.0,"organic_mung_beans","dry_goods","oz",0.89,0.31,17.0
49.0,"silken_tofu","dairy","oz",0.67,0.33,16.0
50.0,"white_cheddar","dairy","oz",0.77,0.36,24.0
51.0,"english_cheddar","dairy","oz",0.89,0.53,15.0
52.0,"cranberry_infused_goat_cheese","dairy","oz",1.79,0.72,15.0
53.0,"black_pepper_goat_cheese","dairy","oz",1.69,0.63,11.0
54.0,"aged_gouda","dairy","oz",1.23,0.69,38.0
55.0,"parmigiano_reggiano","dairy","oz",1.1,0.39,30.0
56.0,"organic_glazed_walnuts","dry_goods","oz",0.86,0.4,11.0
57.0,"kumatos","produce","lb",3.6,1.19,20.0
58.0,"pumpkin_spice_pumpkin_seeds","dry_goods","oz",0.96,0.45,19.0
59.0,"medjool_dates","produce","oz",4.29,1.37,21.0
60.0,"satsuma_oranges","produce","lb",2.06,0.87,39.0
61.0,"grapefruits","produce","lb",0.55,0.22,15.0
62.0,"goji_berries","dry_goods","oz",1.17,0.56,19.0
63.0,"organic_garlic","produce","lb",3.57,1.32,24.0
64.0,"white_onions","produce","lb",1.22,0.44,2.0
65.0,"purple_onions","produce","lb",1.32,0.45,20.0
66.0,"yellow_onions","produce","lb",1.12,0.44,11.0
67.0,"barberries","dry_goods","oz",1.74,0.87,34.0
68.0,"salmonberries","produce","lb",0.67,0.29,11.0
69.0,"wholewheat_couscous","dry_goods","oz",0.27,0.09,20.0
70.0,"orzo","dry_goods","oz",0.19,0.1,3.0
71.0,"autumn_pilaf","dry_goods","oz",0.24,0.11,42.0
72.0,"wild_rice","dry_goods","oz",0.27,0.16,12.0
73.0,"cheddar_corn_sticks","snacks","oz",0.69,0.32,14.0
74.0,"poppy_onion_sesame_sticks","snacks","oz",0.75,0.4,44.0
75.0,"rice_crackers","snacks","oz",0.57,0.3,0.0
76.0,"cheddar_whales","snacks","oz",0.69,0.24,35.0
77.0,"sugar_snap_peas","produce","lb",2.67,1.52,11.0
78.0,"garam_masala","dry_goods","oz",1.44,0.49,40.0
79.0,"darjeeling_black_tea","dry_goods","oz",3.3,1.39,15.0
80.0,"rooibos_tea","dry_goods","oz",3.49,1.85,0.0
81.0,"irish_breakfast_black_tea","dry_goods","oz",2.99,1.7,40.0
82.0,"mango_black_tea","dry_goods","oz",3.08,1.29,22.0
83.0,"soy_ginger_trail_mix","snacks","oz",0.39,0.22,30.0
84.0,"buckwheat_flour","dry_goods","lb",2.59,1.22,2.0
85.0,"cranberry_milk","beverages","fl_oz",0.08,0.04,36.0
